task_code,js_mode,n_success,n_attempts,median_ms,mad_ms,completion_rate,error_rate
T1_filter,on,4,4,25000,5000,1.00,0.00
T1_filter,off,1,1,35000,0,1.00,0.00
T1_filter,all,5,5,30000,5000,1.00,0.00
T2_edit,on,4,5,37500,2500,0.80,0.20
T2_edit,off,1,1,45000,0,1.00,0.00
T2_edit,all,5,6,40000,5000,0.83,0.17
T3_add,on,4,4,21000,2500,1.00,0.00
T3_add,off,1,1,25000,0,1.00,0.00
T3_add,all,5,5,22000,3000,1.00,0.00
T4_delete,on,4,4,16000,5000,1.00,0.00
T4_delete,off,1,1,15000,0,1.00,0.00
T4_delete,all,5,5,15000,5000,1.00,0.00
